Time,Channel A,Channel B
(s),(mV),(V)

0.00000000,-83.91979000,4.79689900
0.00031300,-82.14973000,4.79689900
0.00062600,-83.91979000,4.79689900
0.00093900,-82.14973000,4.79689900
0.00125200,-82.14973000,4.79689900
0.00156500,-82.14973000,4.79689900
0.00187800,-83.91979000,4.75356300
0.00219100,-83.91979000,4.79689900
0.00250400,-82.14973000,4.79689900
0.00281700,-82.14973000,4.84008300
0.00313000,-82.14973000,4.79689900
0.00344300,-82.14973000,4.79689900
0.00375600,-82.14973000,4.84008300
0.00406900,-82.14973000,4.79689900
0.00438200,-82.14973000,4.84008300
0.00469500,-82.14973000,4.84008300
0.00500800,-82.14973000,4.75356300
0.00532100,-82.14973000,4.79689900
0.00563400,-82.14973000,4.79689900
0.00594700,-82.14973000,4.84008300
0.00626000,-82.14973000,4.84008300
0.00657300,-82.14973000,4.79689900
0.00688600,-82.14973000,4.79689900
0.00719900,-83.91979000,4.79689900
0.00751200,-83.91979000,4.79689900
0.00782500,-82.14973000,4.79689900
0.00813800,-82.14973000,4.79689900
0.00845100,-82.14973000,4.79689900
0.00876400,-82.14973000,4.79689900
0.00907700,-82.14973000,4.84008300
0.00939000,-82.14973000,4.79689900
0.00970300,-83.91979000,4.84008300
0.01001600,-82.14973000,4.79689900
0.01032900,-82.14973000,4.84008300
0.01064200,-82.14973000,4.79689900
0.01095500,-83.91979000,4.79689900
0.01126800,-82.14973000,4.79689900
0.01158100,-82.14973000,4.79689900
0.01189400,-83.91979000,4.79689900
0.01220700,-82.14973000,4.79689900
0.01252000,-82.14973000,4.79689900
0.01283300,-83.91979000,4.79689900
0.01314600,-83.91979000,4.79689900
0.01345900,-82.14973000,4.79689900
0.01377200,-82.14973000,4.84008300
0.01408500,-78.60347000,4.79689900
0.01439800,-83.91979000,4.79689900
0.01471100,-82.14973000,4.79689900
0.01502400,-82.14973000,4.79689900
0.01533700,-82.14973000,4.84008300
0.01565000,-82.14973000,4.79689900
0.01596300,-83.91979000,4.79689900
0.01627600,-82.14973000,4.79689900
0.01658900,-82.14973000,4.79689900
0.01690200,-83.91979000,4.79689900
0.01721500,-82.14973000,4.84008300
0.01752800,-83.91979000,4.79689900
0.01784100,-82.14973000,4.79689900
0.01815400,-83.91979000,4.79689900
0.01846700,-82.14973000,4.84008300
0.01878000,-82.14973000,4.79689900
0.01909300,-82.14973000,4.75356300
0.01940600,-82.14973000,4.84008300
0.01971900,-83.91979000,4.79689900
0.02003200,-83.91979000,4.79689900
0.02034500,-82.14973000,4.84008300
0.02065800,-82.14973000,4.79689900
0.02097100,-82.14973000,4.84008300
0.02128400,-83.91979000,4.79689900
0.02159700,-82.14973000,4.79689900
0.02191000,-82.14973000,4.79689900
