T ms, P pa
300973,101028.390625
301023,101028.390625
301073,101028.390625
301123,101028.390625
301173,101028.390625
301223,101028.390625
301273,101028.390625
301323,101026.046875
301373,101028.1640625
301423,101028.1640625
301473,101028.1640625
301523,101028.1640625
301573,101028.1640625
301623,101028.1640625
301673,101028.1640625
301723,101028.1640625
301773,101028.1640625
301823,101028.25
301873,101028.25
301923,101028.25
301973,101028.25
302023,101028.25
302073,101028.25
302123,101028.25
302173,101028.25
302223,101028.25
302273,101028.2109375
302323,101028.2109375
302373,101028.2109375
302423,101028.2109375
302473,101028.2109375
302523,101028.2109375
302573,101028.2109375
302623,101028.2109375
302673,101028.2109375
302723,101028.2109375
302773,101028.140625
302823,101028.140625
302873,101028.140625
302923,101028.140625
302973,101028.140625
303023,101028.140625
303073,101028.140625
303123,101028.140625
303173,101028.140625
303223,101033.53125
303273,101033.53125
303323,101033.53125
303373,101033.53125
303423,101033.53125
303473,101033.53125
303523,101033.53125
303573,101033.53125
303623,101033.53125
303673,101020.71875
303723,101020.71875
303773,101020.71875
303833,101020.71875
303883,101020.71875
303933,101020.71875
303983,101020.71875
304033,101020.71875
304083,101020.71875
304133,101020.71875
304183,101011.0234375
304233,101011.0234375
304283,101011.0234375
304333,101011.0234375
304383,101011.0234375
304433,101011.0234375
304483,101011.0234375
304533,101011.0234375
304583,101011.0234375
304633,101000.359375
304683,101000.359375
304733,101000.359375
304783,101000.359375
304833,101000.359375
304883,101000.359375
304933,101000.359375
304983,101000.359375
305033,101000.359375
305083,100991.453125
305133,100991.453125
305183,100991.453125
305233,100991.453125
305283,100991.453125
305333,100991.453125
305383,100991.453125
305433,100991.453125
305483,100991.453125
305533,100991.453125
305583,100985.46875
305633,100985.46875
305683,100985.46875
305733,100985.46875
305783,100985.46875
305833,100985.46875
305883,100985.46875
305933,100985.46875
305983,100985.46875
306033,100983.125
306083,100983.125
306133,100983.125
306183,100983.125
306233,100983.125
306283,100983.125
306333,100983.125
306383,100983.125
306433,100983.125
306483,100983.125
306533,100984.203125
306583,100984.203125
306642,100984.203125
306692,100984.203125
306742,100984.203125
306792,100984.203125
306842,100984.203125
306892,100984.203125
306942,100984.203125
306992,100987.3515625
307042,100987.3515625
307092,100987.3515625
307142,100987.3515625
307192,100987.3515625
307242,100987.3515625
307292,100987.3515625
307342,100987.3515625
307392,100987.3515625
307442,100990.8125
307492,100990.8125
307542,100990.8125
307592,100990.8125
307642,100990.8125
307692,100990.8125
307742,100990.8125
307792,100990.8125
307842,100990.8125
307892,100990.8125
307942,100994.125
307992,100994.125
308042,100994.125
308092,100994.125
308142,100994.125
308192,100994.125
308242,100994.125
308292,100994.125
308342,100994.125
308392,100997.359375
308442,100997.359375
308492,100997.359375
308542,100997.359375
308592,100997.359375
308642,100997.359375
308693,100997.359375
308743,100997.359375
308793,100997.359375
308843,101000.046875
308893,101000.046875
308943,101000.046875
308993,101000.046875
309043,101000.046875
309093,101000.046875
309143,101000.046875
309193,101000.046875
309243,101000.046875
309293,101000.046875
309343,101003.0078125
309393,101003.0078125
309443,101003.0078125
309493,101003.0078125
309543,101003.0078125
309593,101003.0078125
309643,101003.0078125
309693,101003.0078125
309743,101003.0078125
309793,101005.21875
309852,101005.21875
309902,101005.21875
309952,101005.21875
310002,101005.21875
310052,101005.21875
310102,101005.21875
310152,101005.21875
310202,101005.21875
310252,101007.4375
310302,101007.4375
310352,101007.4375
310402,101007.4375
310452,101007.4375
310502,101007.4375
310552,101007.4375
310602,101007.4375
310652,101007.4375
310702,101007.4375
310752,101010.046875
310802,101010.046875
310852,101010.046875
310902,101010.046875
310952,101010.046875
311002,101010.046875
311052,101010.046875
311102,101010.046875
311152,101010.046875
311202,101011.953125
311252,101011.953125
311302,101011.953125
311352,101011.953125
311402,101011.953125
311452,101011.953125
311502,101011.953125
311552,101011.953125
311602,101011.953125
