#multi:
	A			bench_1			bench_2			light_1_a			light_1_b			light_2_b			light_2_a			
t	x	pixelx	pixely	x	pixelx	pixely	x	pixelx	pixely	x	pixelx	pixely	x	pixelx	pixely	x	pixelx	pixely	x	pixelx	pixely	
1.407689E1	4.189358E-1	5.388773E2	1.606933E3																		
1.409355E1	3.770374E-1	5.388773E2	1.610301E3																		
1.411020E1																					
1.412686E1																					
1.414352E1																					
1.416018E1																					
1.417684E1																					
1.419350E1																					
1.421016E1																					
1.422682E1																					
1.424348E1																					
1.426014E1																					
1.427680E1																					
1.429345E1																					
1.431011E1																					
1.432677E1																					
1.434343E1																					
1.436009E1																					
1.437675E1																					
1.439341E1																					
1.441007E1																					
1.442673E1																					
1.444339E1																					
1.446004E1																					
1.447670E1																					
1.449336E1																					
1.451002E1																					
1.452668E1																					
1.454334E1																					
1.456000E1																					
1.457666E1																					
1.459332E1																					
1.460998E1																					
1.462664E1																					
1.464329E1																					
1.465995E1																					
1.467661E1																					
1.469327E1																					
1.470993E1																					
1.472659E1																					
1.474325E1																					
1.475991E1																					
1.477657E1																					
1.479323E1																					
1.480988E1																					
1.482654E1																					
1.484320E1																					
1.485986E1																					
1.487652E1																					
1.489318E1																					
1.490984E1																					
1.492650E1																					
1.494316E1																					
1.495982E1																					
1.497647E1																					
1.499313E1																					
1.500979E1																					
1.502645E1																					
1.504311E1																					
1.505977E1																					
1.507643E1																					
1.509309E1																					
1.510975E1																					
1.512641E1																					
1.514307E1																					
1.515972E1																					
1.517638E1																					
1.519304E1																					
1.520970E1																					
1.522636E1																					
1.524302E1																					
1.525968E1																					
1.527634E1																					
1.529300E1																					
1.530966E1																					
1.532631E1																					
1.534297E1																					
1.535963E1																					
1.537629E1	4.328536E-1	5.394387E2	1.605811E3																		
1.539295E1																					
1.540961E1																					
1.542627E1																					
1.544293E1																					
1.545959E1																					
1.547625E1																					
1.549291E1																					
1.550956E1																					
1.552622E1																					
1.554288E1																					
1.555954E1																					
1.557620E1																					
1.559286E1										-3.026225E-1	6.378750E2	1.664250E3									
1.560952E1													4.192017E0	6.307500E2	1.303000E3						
1.562618E1													4.227869E0	6.297500E2	1.300125E3						
1.564284E1																					
1.565950E1																					
1.567615E1																					
1.569281E1																					
1.570947E1																					
1.572613E1																					
1.574279E1																					
1.575945E1																					
1.577611E1																					
1.579277E1																					
1.580943E1																					
1.582609E1																					
1.584274E1																					
1.585940E1	4.608826E-1	5.383160E2	1.603565E3																		
1.587606E1	4.468197E-1	5.394387E2	1.604688E3																		
1.589272E1	4.466746E-1	5.411227E2	1.604688E3																		
1.590938E1	4.538028E-1	5.394387E2	1.604127E3																		
1.592604E1	4.615904E-1	5.403151E2	1.603495E3																		
1.594270E1																					
1.595936E1	4.615904E-1	5.403151E2	1.603495E3																		
1.597602E1	4.732941E-1	5.409452E2	1.602550E3																		
1.599268E1	4.694290E-1	5.403151E2	1.602865E3																		
1.600934E1	4.695104E-1	5.393699E2	1.602865E3																		
1.602599E1	5.596276E-1	5.396849E2	1.595618E3																		
1.604265E1	7.203740E-1	5.390548E2	1.582701E3	8.837586E-1	6.442824E2	1.568839E3	1.074485E0	4.412219E2	1.554914E3												
1.605931E1	9.319358E-1	5.400000E2	1.565688E3	8.798393E-1	6.442824E2	1.569154E3															
1.607597E1	1.190719E0	5.387398E2	1.544895E3	8.720006E-1	6.442824E2	1.569784E3															
1.609263E1	1.527862E0	5.377946E2	1.517800E3	8.837314E-1	6.445974E2	1.568839E3							4.230979E0	6.297500E2	1.299875E3						
1.610929E1	1.927633E0	5.377946E2	1.485665E3																		
1.612595E1	2.401925E0	5.371645E2	1.447544E3																		
1.614261E1	2.891894E0	5.365344E2	1.408162E3																		
1.615927E1	3.417055E0	5.368495E2	1.365945E3																		
1.617593E1	3.907079E0	5.355893E2	1.326564E3																		
1.619258E1	4.408806E0	5.349592E2	1.286237E3							-2.529670E-1	6.376715E2	1.660260E3									
1.620924E1	4.886990E0	5.346441E2	1.247800E3																		
1.622590E1	5.361228E0	5.346441E2	1.209679E3																		
1.624256E1	5.831600E0	5.340140E2	1.171873E3																		
1.625922E1	6.297999E0	5.340140E2	1.134382E3																		
1.627588E1	6.752722E0	5.330688E2	1.097835E3																		
1.629254E1	7.187712E0	5.336989E2	1.062865E3																		
1.630920E1	7.634596E0	5.327538E2	1.026949E3																		
1.632586E1	8.085317E0	5.327538E2	9.907176E2																		
1.634252E1	8.508658E0	5.321237E2	9.566919E2																		
1.635917E1	8.927971E0	5.327538E2	9.229813E2																		
1.637583E1	9.355204E0	5.324387E2	8.886406E2																		
1.639249E1	9.758921E0	5.321237E2	8.561902E2																		
1.640915E1	1.015085E1	5.321237E2	8.246849E2																		
1.642581E1	1.057474E1	5.293923E2	7.906298E2																		
1.644247E1	1.097045E1	5.315138E2	7.588066E2																		
1.645913E1	1.137525E1	5.300994E2	7.262762E2																		
1.647579E1	1.174281E1	5.309791E2	6.967239E2																		
1.649245E1	1.214740E1	5.305336E2	6.642042E2																		
1.650911E1	1.251871E1	5.305336E2	6.343573E2																		
1.652577E1	1.292326E1	5.305336E2	6.018376E2																		
1.654242E1	1.329185E1	5.298654E2	5.722135E2																		
1.655908E1	1.365214E1	5.289745E2	5.432575E2																		
1.657574E1	1.401803E1	5.274153E2	5.138561E2																		
1.659240E1	1.439203E1	5.283063E2	4.837865E2										4.159251E0	6.319987E2	1.305625E3						
1.660906E1	1.474674E1	5.278608E2	4.552761E2																		
1.662572E1	1.509318E1	5.269698E2	4.274339E2																		
1.664238E1	1.542571E1	5.267471E2	4.007053E2																		
1.665904E1	1.576928E1	5.269698E2	3.730858E2													3.888340E0	1.007610E2	1.331081E3			
