#multi:
	A			bench_1			bench_2			light_1_a			light_1_b			light_2_a			light_2_b			
t	x	pixelx	pixely	x	pixelx	pixely	x	pixelx	pixely	x	pixelx	pixely	x	pixelx	pixely	x	pixelx	pixely	x	pixelx	pixely	
14.348	0.565	450.5	1.678E3																		
14.365	0.569	453.3	1.677E3																		
14.382																					
14.398																					
14.415																					
14.432																					
14.448																					
14.465																					
14.482																					
14.498																					
14.515																					
14.532																					
14.548																					
14.565																					
14.582																					
14.598																					
14.615																					
14.632																					
14.648																					
14.665																					
14.682																					
14.699																					
14.715																					
14.732																					
14.749																					
14.765																					
14.782																					
14.799																					
14.815																					
14.832																					
14.849																					
14.865																					
14.882																					
14.899																					
14.915																					
14.932																					
14.949																					
14.965																					
14.982																					
14.999																					
15.016																					
15.032																					
15.049																					
15.066																					
15.082																					
15.099																					
15.116																					
15.132																					
15.149																					
15.166																					
15.182																					
15.199																					
15.216																					
15.232																					
15.249																					
15.266																					
15.282																					
15.299																					
15.316																					
15.333																					
15.349																					
15.366																					
15.383																					
15.399																					
15.416																					
15.433																					
15.449																					
15.466																					
15.483																					
15.499																					
15.516																					
15.533																					
15.549																					
15.566																					
15.583																					
15.599																					
15.616																					
15.633																					
15.650																					
15.666																					
15.683																					
15.700																					
15.716																					
15.733																					
15.750																					
15.766	0.557	451.9	1.678E3																		
15.783	0.581	452.7	1.677E3																		
15.800	0.557	451.3	1.678E3																		
15.816	0.549	451.3	1.679E3																		
15.833	0.549	451.3	1.679E3																		
15.850	0.549	451.3	1.679E3																		
15.866	0.549	451.3	1.679E3																		
15.883	0.549	451.3	1.679E3																		
15.900	0.549	451.3	1.679E3																		
15.916	0.549	451.3	1.679E3																		
15.933	0.549	451.3	1.679E3																		
15.950	0.549	451.3	1.679E3																		
15.966	0.549	451.3	1.679E3																		
15.983	0.549	451.3	1.679E3																		
16.000	0.549	451.3	1.679E3																		
16.017	0.549	451.3	1.679E3																		
16.033	0.549	451.3	1.679E3																		
16.050	0.549	451.3	1.679E3																		
16.067	0.549	451.3	1.679E3																		
16.083	0.549	451.3	1.679E3																		
16.100	0.549	451.3	1.679E3																		
16.117	0.549	451.3	1.679E3																		
16.133	0.549	451.3	1.679E3																		
16.150	0.549	451.3	1.679E3																		
16.167	0.549	451.3	1.679E3																		
16.183	0.549	451.3	1.679E3																		
16.200	0.549	451.3	1.679E3																		
16.217	0.549	451.3	1.679E3																		
16.233	0.549	451.3	1.679E3																		
16.250	0.549	451.3	1.679E3																		
16.267	0.549	451.3	1.679E3																		
16.283	0.549	451.3	1.679E3																		
16.300	0.549	451.3	1.679E3																		
16.317	0.549	451.3	1.679E3																		
16.334	0.549	451.3	1.679E3																		
16.350	0.549	451.3	1.679E3																		
16.367	0.549	451.3	1.679E3																		
16.384	0.549	451.3	1.679E3																		
16.400	0.549	451.3	1.679E3																		
16.417	0.549	451.3	1.679E3																		
16.434	0.549	451.3	1.679E3																		
16.450	0.549	451.3	1.679E3																		
16.467	0.549	451.3	1.679E3																		
16.484	0.549	451.3	1.679E3																		
16.500	0.549	451.3	1.679E3																		
16.517	0.549	451.3	1.679E3																		
16.534	0.549	451.3	1.679E3							3.271E-2	301.7	1.715E3									
16.550	0.549	451.3	1.679E3										4.462	314.1	1.410E3						
16.567	0.549	451.3	1.679E3													0.153	678.0	1.705E3			
16.584	0.549	451.3	1.679E3																3.498	671.9	1.475E3
16.600	0.549	451.3	1.679E3																		
16.617	0.553	453.0	1.679E3																		
16.634	0.553	453.0	1.679E3																		
16.651	0.553	452.2	1.679E3																		
16.667	0.549	452.2	1.679E3																		
16.684	0.598	452.2	1.675E3																		
16.701	0.692	451.9	1.669E3																		
16.717	0.873	451.4	1.656E3																		
16.734	1.126	451.0	1.639E3																		
16.751	1.440	450.4	1.618E3	0.797	637.6	1.661E3	0.793	779.4	1.661E3												
16.767	1.797	449.6	1.593E3																		
16.784	2.217	448.3	1.564E3																		
16.801	2.714	446.3	1.530E3																		
16.817	3.214	444.6	1.496E3																		
16.834	3.727	442.9	1.460E3																		
16.851	4.233	440.6	1.426E3																		
16.867	4.729	440.4	1.392E3																		
16.884	5.206	438.9	1.359E3																		
16.901	5.677	436.6	1.326E3																		
16.917	6.122	435.6	1.296E3																		
16.934	6.570	434.1	1.265E3																		
16.951	7.019	433.0	1.234E3																		
16.968	7.451	431.0	1.204E3																		
16.984	7.872	430.0	1.176E3																		
17.001	8.270	429.3	1.148E3																		
17.018	8.680	427.8	1.120E3																		
17.034	9.081	426.1	1.092E3																		
17.051	9.464	424.9	1.066E3																		
17.068	9.829	423.2	1.041E3																		
17.084	10.20	422.4	1.015E3																		
17.101	10.57	421.1	990.0																		
17.118	10.91	420.3	966.8																		
17.134	11.27	418.2	941.8																		
17.151	11.59	416.5	920.0																		
17.168	11.93	416.0	896.4																		
17.184	12.26	414.3	874.2																		
17.201	12.56	412.7	853.1																		
17.218	12.87	412.0	832.3																		
17.234	13.17	410.3	811.7																		
17.251	13.46	409.9	791.5																		
17.268	13.75	408.4	771.5																		
17.285	14.02	407.2	752.9																		
17.301	14.30	406.2	733.8																		
17.318	14.59	404.8	713.8																		
17.335	14.86	404.3	695.5																		
17.351	15.13	402.9	676.8																		
17.368	15.39	402.0	658.8																		
17.385	15.67	401.2	639.8																		
17.401	15.91	400.4	623.0																		
17.418	16.19	399.0	604.3																		
17.435	16.43	398.6	587.3																		
17.451	16.68	396.8	570.6																		
17.468	16.93	396.4	553.0																		
17.485	17.15	395.3	538.1																		
17.501	17.40	394.1	520.9																		
17.518	17.63	393.5	505.1																		
17.535	17.82	392.8	491.8																		
17.551	18.06	392.2	475.6																		
17.568	18.28	390.5	460.6																		
17.585	18.48	389.3	446.6																		
17.602	18.68	388.5	432.8																		
17.618	18.89	388.0	418.4																		
17.635	19.09	387.9	404.5																		
17.652	19.27	387.0	392.0																		
17.668	19.49	385.8	377.1																		
17.685	19.66	385.9	365.3																		
17.702	19.84	384.5	353.4																		
17.718	20.01	384.2	341.4																		
17.735	20.19	383.9	329.2																		
17.752	20.33	383.3	319.7																		
17.768	20.55	382.2	304.3																		
17.785																					
17.802																					
17.818	21.06	379.4	269.3																		
17.835																					
17.852																					
17.868																					
17.885																					
17.902																					
17.919																					
17.935																					
17.952	22.28	376.0	185.3																		
17.969	22.43	375.9	175.3																		
17.985	22.55	376.8	167.0																		
18.002	22.69	375.1	157.5																		
18.019	22.84	374.9	147.3																		
18.035	23.00	373.8	136.0																		
18.052	23.12	373.6	127.8																		
18.069	23.26	372.8	118.3																		
18.085	23.38	372.9	109.5																		
18.102	23.51	372.0	100.9																		
18.119	23.62	371.3	93.13																		
18.135	23.75	371.4	84.38																		
18.152	23.86	371.3	76.75																		
18.169	23.98	370.4	68.50																		
18.185	24.09	369.9	61.00																		
18.202	24.21	369.1	52.88																		
18.219	24.31	369.1	46.25																		
18.236	24.41	368.5	38.75																		
18.252	24.52	367.9	31.25																		
18.269	24.62	367.5	24.88																		
18.286	24.72	366.3	17.50																		
18.302	24.82	366.5	10.88																		
18.319	24.95	366.9	2.125																		
18.336																					
18.352																					
18.369																					
18.386																					
18.402																					
18.419																					
18.436																					
18.452																					
18.469																					
18.486																					
18.502																					
18.519																					
18.536																					
18.552																					
18.569																					
18.586																					
18.603																					
18.619																					
18.636																					
18.653																					
18.669																					
18.686																					
18.703																					
18.719																					
18.736																					
18.753																					
18.769																					
18.786																					
18.803																					
18.819																					
18.836																					
18.853																					
18.869																					
18.886																					
18.903																					
18.920																					
18.936																					
18.953																					
18.970																					
18.986																					
19.003																					
19.020																					
19.036																					
19.053																					
19.070																					
19.086																					
19.103																					
19.120																					
19.136																					
19.153																					
19.170																					
19.186																					
19.203																					
19.220																					
19.237																					
19.253																					
19.270																					
19.287																					
19.303																					
19.320																					
19.337																					
19.353																					
19.370																					
19.387																					
19.403																					
19.420																					
19.437																					
19.453																					
19.470																					
19.487																					
19.503																					
19.520																					
19.537																					
19.554																					
19.570																					
19.587																					
19.604																					
19.620																					
19.637																					
19.654																					
19.670																					
19.687																					
19.704																					
19.720																					
19.737																					
19.754																					
19.770																					
19.787																					
19.804																					
19.820																					
19.837																					
19.854																					
19.871																					
19.887																					
19.904																					
19.921																					
19.937																					
19.954																					
19.971																					
19.987																					
20.004																					
20.021																					
20.037																					
20.054																					
20.071																					
20.087																					
20.104																					
20.121																					
20.137																					
20.154																					
20.171																					
20.188																					
20.204																					
20.221																					
20.238																					
20.254																					
20.271																					
20.288																					
20.304																					
20.321																					
20.338																					
20.354																					
20.371																					
20.388																					
20.404																					
20.421																					
20.438																					
20.454																					
20.471																					
20.488																					
20.505																					
20.521																					
20.538																					
20.555																					
20.571																					
20.588																					
20.605																					
20.621																					
20.638																					
20.655																					
20.671																					
20.688																					
20.705																					
20.721																					
20.738																					
20.755																					
20.771																					
20.788																					
20.805																					
20.822																					
20.838																					
20.855																					
20.872																					
20.888																					
20.905																					
20.922																					
20.938																					
20.955																					
20.972																					
20.988																					
21.005																					
21.022																					
21.038																					
21.055																					
21.072																					
21.088																					
21.105																					
21.122																					
21.139																					
21.155																					
21.172																					
21.189																					
21.205																					
21.222																					
21.239																					
21.255																					
21.272	24.91	354.4	4.740																		
21.289	24.81	355.1	11.61																		
21.305	24.75	355.0	15.96																		
21.322	24.63	354.9	24.10																		
21.339	24.54	355.1	30.42																		
21.355	24.44	356.0	37.01																		
21.372	24.35	356.1	43.05																		
21.389	24.24	356.0	50.62																		
21.405	24.16	356.5	56.38																		
21.422	24.07	356.5	62.55																		
21.439	23.95	357.7	70.69																		
21.455	23.85	357.4	77.28																		
21.472	23.78	356.7	82.47																		
21.489	23.65	358.6	91.31																		
21.506	23.54	358.2	98.61																		
21.522	23.44	357.9	105.6																		
21.539	23.33	358.1	113.1																		
21.556	23.24	358.4	119.4																		
21.572	23.13	359.2	127.2																		
21.589	23.00	359.6	135.9																		
21.606	22.89	360.0	143.4																		
21.622	22.80	359.6	150.0																		
