#multi:
	A			light_1_a			light_1_b			light_2_b			light_2_a			bench_1			bench_2			
t	x	pixelx	pixely	x	pixelx	pixely	x	pixelx	pixely	x	pixelx	pixely	x	pixelx	pixely	x	pixelx	pixely	x	pixelx	pixely	
1.253089E1	4.453325E-1	5.135346E2	1.638963E3																		
1.254765E1	4.669284E-1	5.164241E2	1.637245E3																		
1.256440E1	4.563720E-1	5.138981E2	1.638087E3																		
1.258115E1	4.492884E-1	5.138981E2	1.638649E3																		
1.259790E1	4.634785E-1	5.130561E2	1.637526E3																		
1.261466E1	4.634785E-1	5.130561E2	1.637526E3																		
1.263141E1	4.634785E-1	5.130561E2	1.637526E3																		
1.264816E1	4.634785E-1	5.130561E2	1.637526E3																		
1.266491E1	4.634785E-1	5.130561E2	1.637526E3																		
1.268167E1	4.634785E-1	5.130561E2	1.637526E3																		
1.269842E1	4.634785E-1	5.130561E2	1.637526E3																		
1.271517E1	4.634785E-1	5.130561E2	1.637526E3																		
1.273192E1	4.670280E-1	5.127755E2	1.637245E3																		
1.274868E1	4.740733E-1	5.141788E2	1.636684E3	7.945007E-1	6.301768E2	1.611041E3															
1.276543E1	5.272384E-1	5.127755E2	1.632474E3				4.217457E0	6.252259E2	1.339804E3												
1.278218E1	5.889995E-1	5.137757E2	1.627578E3							3.883895E0	9.300589E1	1.367387E3									
1.279893E1	6.506101E-1	5.139332E2	1.622695E3										1.291389E0	8.310413E1	1.572849E3						
1.281569E1	7.341140E-1	5.129882E2	1.616080E3													9.304957E-1	6.380198E2	1.600248E3			
1.283244E1	8.314880E-1	5.136182E2	1.608362E3																1.144872E0	4.054455E2	1.583762E3
1.284919E1	9.388128E-1	5.137757E2	1.599857E3																		
1.286594E1	1.062038E0	5.139332E2	1.590092E3																		
1.288270E1	1.205148E0	5.137757E2	1.578752E3																		
1.289945E1	1.334353E0	5.133032E2	1.568514E3																		
1.291620E1	1.489376E0	5.136182E2	1.556229E3																		
1.293295E1	1.658307E0	5.140907E2	1.542841E3																		
1.294971E1	1.833248E0	5.128307E2	1.528981E3																		
1.296646E1	2.018092E0	5.128307E2	1.514333E3																		
1.298321E1	2.214862E0	5.128307E2	1.498740E3																		
1.299996E1	2.439458E0	5.128307E2	1.480942E3																		
1.301672E1	2.662088E0	5.120432E2	1.463302E3																		
1.303347E1	2.886693E0	5.117282E2	1.445504E3																		
1.305022E1	3.085450E0	5.117282E2	1.429754E3																		
1.306697E1	3.320002E0	5.110981E2	1.411168E3																		
1.308373E1	3.544649E0	5.092081E2	1.393370E3																		
1.310048E1	3.785142E0	5.093656E2	1.374312E3																		
1.311723E1	3.989888E0	5.084206E2	1.358090E3																		
1.313398E1	4.290050E0	5.070031E2	1.334307E3																		
1.315074E1	4.480840E0	5.076331E2	1.319186E3																		
1.316749E1	4.844623E0	5.055855E2	1.290363E3																		
1.318424E1	5.103068E0	5.033805E2	1.269888E3																		
1.320099E1	5.446974E0	5.013329E2	1.242640E3																		
1.321775E1	5.647741E0	5.005454E2	1.226732E3																		
1.323450E1	5.890259E0	4.992854E2	1.207516E3																		
1.325125E1																					
1.326800E1	6.741075E0	4.944028E2	1.140105E3																		
1.328476E1	7.154499E0	4.940878E2	1.107344E3																		
1.330151E1	7.438744E0	4.933003E2	1.084821E3																		
1.331826E1	7.746891E0	4.906227E2	1.060408E3																		
1.333501E1	8.051038E0	4.888902E2	1.036310E3																		
1.335177E1	8.333316E0	4.873152E2	1.013945E3																		
1.336852E1	8.605657E0	4.857401E2	9.923669E2																		
1.338527E1	8.874027E0	4.840076E2	9.711040E2																		
1.340202E1	9.120521E0	4.827476E2	9.515736E2																		
1.341878E1	9.341168E0	4.818025E2	9.340907E2																		
1.343553E1	9.593607E0	4.811725E2	9.140878E2																		
1.345228E1	9.812300E0	4.789675E2	8.967624E2																		
1.346903E1																					
1.348579E1																					
1.350254E1																					
1.351929E1	1.058156E1	4.764474E2	8.358087E2																		
1.353604E1																					
1.355280E1	1.096922E1	4.734549E2	8.050955E2																		
1.356955E1																					
1.358630E1																					
1.360306E1																					
1.361981E1																					
1.363656E1																					
1.365331E1																					
1.367007E1																					
1.368682E1	1.265493E1	4.644772E2	6.715327E2																		
1.370357E1	1.285968E1	4.633747E2	6.553099E2																		
1.372032E1	1.299486E1	4.624296E2	6.445997E2																		
1.373708E1	1.318372E1	4.610121E2	6.296369E2																		
1.375383E1	1.332287E1	4.602246E2	6.186116E2																		
1.377058E1	1.347994E1	4.584921E2	6.061689E2																		
1.378733E1	1.359521E1	4.586496E2	5.970337E2																		
1.380409E1	1.374831E1	4.567595E2	5.849059E2																		
1.382084E1																					
1.383759E1																					
1.385434E1	1.418762E1	4.547120E2	5.500977E2																		
1.387110E1																					
1.388785E1																					
1.390460E1																					
1.392135E1																					
1.393811E1																					
1.395486E1																					
1.397161E1																					
1.398836E1																					
1.400512E1																					
1.402187E1																					
1.403862E1																					
1.405537E1																					
1.407213E1																					
1.408888E1																					
1.410563E1																					
1.412238E1																					
1.413914E1																					
1.415589E1																					
1.417264E1																					
1.418939E1																					
1.420615E1																					
1.422290E1																					
1.423965E1																					
1.425640E1																					
1.427316E1																					
1.428991E1																					
1.430666E1																					
1.432341E1																					
1.434017E1																					
1.435692E1																					
1.437367E1																					
1.439042E1																					
1.440718E1																					
1.442393E1																					
1.444068E1																					
1.445743E1																					
1.447419E1																					
1.449094E1																					
1.450769E1																					
1.452444E1																					
1.454120E1																					
1.455795E1																					
1.457470E1																					
1.459145E1																					
1.460821E1																					
1.462496E1																					
1.464171E1																					
1.465846E1																					
1.467522E1																					
1.469197E1																					
1.470872E1																					
1.472547E1																					
1.474223E1																					
1.475898E1																					
1.477573E1																					
1.479248E1																					
1.480924E1																					
1.482599E1																					
1.484274E1																					
1.485949E1																					
1.487625E1																					
1.489300E1																					
1.490975E1																					
1.492651E1																					
1.494326E1																					
1.496001E1																					
1.497676E1																					
1.499352E1																					
1.501027E1																					
1.502702E1																					
1.504377E1																					
1.506053E1																					
1.507728E1																					
1.509403E1																					
1.511078E1																					
1.512754E1																					
1.514429E1																					
1.516104E1																					
1.517779E1																					
1.519455E1																					
1.521130E1																					
1.522805E1																					
1.524480E1																					
1.526156E1																					
1.527831E1																					
1.529506E1																					
1.531181E1																					
1.532857E1																					
1.534532E1																					
1.536207E1																					
1.537882E1																					
1.539558E1																					
1.541233E1																					
1.542908E1																					
1.544583E1																					
1.546259E1																					
