Время;Канал A;Канал B
(с);(В);(В)

-4,98437500;0,02551347;5,79516000
-4,98125000;0,02551347;5,79516000
-4,97812500;0,02551347;5,79516000
-4,97500000;0,02551347;5,79516000
-4,97187500;0,02551347;5,88183200
-4,96875000;0,02551347;5,79516000
-4,96562500;0,02551347;5,79516000
-4,96250000;0,02551347;5,79516000
-4,95937500;0,03436384;5,79516000
-4,95625000;0,02551347;5,88183200
-4,95312500;0,02551347;5,79516000
-4,95000000;0,02551347;5,79516000
-4,94687500;0,02551347;5,79516000
-4,94375000;0,02551347;5,79516000
-4,94062500;0,02551347;5,79516000
-4,93750000;0,02551347;5,79516000
-4,93437500;0,02551347;5,79516000
-4,93125000;0,02551347;5,79516000
-4,92812500;0,02551347;5,79516000
-4,92500000;0,02551347;5,79516000
-4,92187500;0,02551347;5,79516000
-4,91875000;0,02551347;5,79516000
-4,91562500;0,02551347;5,79516000
-4,91250000;0,02551347;5,79516000
-4,90937500;0,02551347;5,79516000
-4,90625000;0,02551347;5,88183200
-4,90312500;0,02551347;5,79516000
-4,90000000;0,02551347;5,79516000
-4,89687500;0,02551347;5,79516000
-4,89375000;0,02551347;5,79516000
-4,89062500;0,02551347;5,79516000
-4,88750000;0,02551347;5,79516000
-4,88437500;0,02551347;5,70879200
-4,88125000;0,02551347;5,79516000
-4,87812500;0,02551347;5,79516000
-4,87500000;0,02551347;5,79516000
-4,87187500;0,02551347;5,79516000
-4,86875000;0,02551347;5,79516000
-4,86562500;0,02551347;5,79516000
-4,86250000;0,02551347;5,79516000
-4,85937500;0,02551347;5,79516000
-4,85625000;0,02551347;5,79516000
-4,85312500;0,03436384;5,79516000
-4,85000000;0,02551347;5,88183200
-4,84687500;0,02551347;5,79516000
-4,84375000;0,01666311;5,79516000
-4,84062500;0,02551347;5,79516000
-4,83750000;0,01666311;5,79516000
-4,83437500;0,02551347;5,79516000
-4,83125000;0,02551347;5,79516000
-4,82812500;0,02551347;5,88183200
-4,82500000;0,02551347;5,79516000
-4,82187500;0,02551347;5,79516000
-4,81875000;0,02551347;5,79516000
-4,81562500;0,02551347;5,79516000
-4,81250000;0,02551347;5,79516000
-4,80937500;0,02551347;5,79516000
-4,80625000;0,01666311;5,79516000
-4,80312500;0,02551347;5,79516000
-4,80000000;0,02551347;5,79516000
-4,79687500;0,02551347;5,79516000
-4,79375000;0,02551347;5,79516000
-4,79062500;0,02551347;5,79516000
-4,78750000;0,02551347;5,79516000
-4,78437500;0,02551347;5,79516000
-4,78125000;0,02551347;5,79516000
-4,77812500;0,02551347;5,79516000
-4,77500000;0,02551347;5,79516000
-4,77187500;0,02551347;5,79516000
