T ms, P pa
784610,100237.109375
784620,100235.984375
784630,100241.3125
784640,100242.765625
784650,100239.53125
784660,100239.53125
784670,100240.046875
784680,100240.859375
784690,100235.984375
784700,100239.5
784710,100241.859375
784720,100242.34375
784730,100242.34375
784740,100242.4765625
784750,100245.2578125
784760,100239.375
784770,100242.09375
784780,100241.1875
784790,100237.7890625
784800,100236.234375
784810,100242.09375
784820,100243.4453125
784830,100242.09375
784840,100239.953125
784850,100240.5
784860,100238.46875
784870,100237.71875
784880,100241.9921875
784890,100247.5234375
784900,100244.8046875
784911,100246.1640625
784983,100242.671875
784993,100243.4453125
785003,100243.3515625
785013,100236.234375
785023,100236.234375
785033,100239.140625
785043,100244.2578125
785053,100238.59375
785063,100240.859375
785073,100235.75
785083,100240.6328125
785093,100240.6328125
785103,100234.515625
785113,100237.3359375
785123,100242.765625
785133,100241.9921875
785143,100241.40625
785153,100240.046875
785163,100238.46875
785173,100240.046875
785183,100242.8984375
785193,100242.765625
785203,100241.40625
785213,100237.59375
785223,100237.59375
785233,100235.078125
785243,100239.5
785253,100232.578125
785263,100240.734375
785273,100240.859375
785283,100236.234375
785293,100236.234375
785303,100240.4375
785313,100240.1796875
785323,100239.953125
785333,100237.234375
785343,100244.2578125
785353,100239.5
785363,100237.109375
785373,100242.09375
785449,100240.046875
785459,100239.953125
785469,100239.953125
785479,100243.578125
785489,100244.125
785499,100239.375
785509,100239.375
785519,100244.9375
785529,100242.21875
785539,100237.4921875
785549,100241.9921875
785559,100246.84375
785569,100247.5234375
785579,100242.09375
785589,100240.5
785599,100241.1171875
785609,100241.1171875
785619,100243.578125
785629,100242.671875
785639,100238.59375
785649,100243.4453125
785659,100244.2578125
785669,100242.21875
785679,100241.40625
785729,100239.2734375
785739,100239.2734375
785749,100241.9921875
785759,100240.1796875
785769,100242.765625
785779,100243.4453125
785789,100240.734375
785799,100239.140625
785809,100239.140625
785819,100242.09375
785839,100239.375
785905,100238.6953125
785915,100238.6953125
785925,100237.71875
785935,100242.765625
